,Placa,Modelo,Marca,AnoFabr.,Combustível,Chassi,Cor,Potência,Cilindro,Aquisição,Conservação,Situação,Combustivel,Renavam,Tipo,Motor,Caixa,Local,Loc.Manutenção,Km Atual,Data Compra,Data Venda,Nota de compra,Valor de compra,Nota de venda,Valor de venda,Nº Apólice
214,GXJ1013,KOMBI - STANDARD,VOLKSWAGEN,1998,Gasolina,9BWZZZ237WP015487,BRANCA,61 CV,4,COMPRA,Regular,Ativa,Gasolina,703036505,MIS/CAMION./C.FECHADA,"1,6","1,6",,,185648,08/05/1998,,0,17799,0,0,
215,GXM9257,SAVEIRO 1.6 CS,VOLKSWAGEN,2011,Flex,9BWKB05U2CP049295,PRATA,"1,6",4,DOACAO CONTRATO 009579-D,Ótimo,Ativa,Flex,335347339,CAR/CAMION./C.ABERTA,CCR L50508,,,,69774,14/09/2015,,0,34616,0,0,
216,GXM9295,SAVEIRO 1.6 CS,VOLKSWAGEN,2011,Flex,9BWKB05U0CP046184,PRATA,104 CV,4,DOACAO CONTRATO 009995-D,Ótimo,Ativa,Flex,335302327,CAR/CAMION./C.ABERTA,CCR497763,,,,40716,23/08/2016,,0,34616,0,0,
217,GXP5136,PICK-UP F75,FORD,1983,Alcool,LA3BBD73354,Branca,91 CV,4,COMPRA,Regular,Ativa,Alcool,239838718,CAR/CAMION./C.ABERTA,,,,,86985,29/03/1983,,0,2298960,0,0,
218,HAE4379,PIC-UP GM/S10 2.8 D,CHEVROLET,2002,Diesel,9BG138AC03C401046,BRANCA,132 CV,4,DOACAO - CONTRATO 03140-D,Bom,Ativa,Diesel,789879921,MIS/CAMION./CAB. DUPLA,"2,8","2,8",,,389986,10/11/2002,,0,"48601,27",0,0,
219,HCG1E96,PICK-UP COURIER 1.6 L,FORD,2004,Gasolina,9BFNSZPPA5B966045,PRATA,095 CV,4,DOACAO CONT. 08056-D,Bom,Ativa,Gasolina,837116341,CAR/CAMION./C.ABERTA,,,,,77507,15/05/2012,,0,0,0,0,HCG1496
220,HCG3114,VAN DUCATO MINIBUS,FIAT,2004,Diesel,93W231M2141019097,BRANCA,103 CV,,DOACAO-CONT. 001/2008,Anti-econômico,Ativa,Diesel,837445779,PAS/MICROONIBUS,,,,,193494,10/06/2008,16/02/2017,0,55141,0,0,
221,HCG9025,REBOQUE,REBOQUE,2004,Outros,9EZMG10PC40011548,VERDE,,,COMPRA,Bom,Ativa,Outros,249936259,CAR/REBOQUE/C.ABERTA,,,,,0,15/10/2004,,281,2229,0,0,
222,HDJ1158,PALIO WEEKEND HLX FLEX,FIAT,2005,Gasolina,9BD17306C64158757,BRANCA,110 CV,4,DOACAO NR. 05558-D,Ótimo,Ativa,Gasolina,865998965,PAS/AUTOMOVEL,"1,8",,,,296025,22/06/2007,,0,"45452,16",0,0,
223,HDK9167,KOMBI - STANDARD,VOLKSWAGEN,2005,Gasolina,9BWGB07X56P003008,BRANCA,062 CV,4,DOACAO-CONTRATO-05168-D,Ótimo,Ativa,Gasolina,870043331,MIS/CAMION./C.FECHADA,"1,6",,,,78174,01/10/2006,,0,37540,0,0,
